Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","1999","1999","Head","22230000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2000","2000","Head","22310000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2001","2001","Head","22380000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2002","2002","Head","22460000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2003","2003","Head","22580000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2004","2004","Head","22600000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2005","2005","Head","22670000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2006","2006","Head","22800000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2007","2007","Head","22870000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2008","2008","Head","22900000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2009","2009","Head","22976000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2010","2010","Head","23051000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2011","2011","Head","23121000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2012","2012","Head","23195000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2013","2013","Head","23341000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2014","2014","Head","23488000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2015","2015","Head","23636000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2016","2016","Head","23785000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2017","2017","Head","23935000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2018","2018","Head","24086000","","Official data"
"QA","Live Animals","16","Bangladesh","5111","Stocks","866","Cattle","2019","2019","Head","24187000","","Official data"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1961","1961","Head","190000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1962","1962","Head","195000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1963","1963","Head","200000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1964","1964","Head","205000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1965","1965","Head","210000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1966","1966","Head","215000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1967","1967","Head","220000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1968","1968","Head","225000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1969","1969","Head","230000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1970","1970","Head","236000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1971","1971","Head","242000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1972","1972","Head","248000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1973","1973","Head","254000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1974","1974","Head","260000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1975","1975","Head","266000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1976","1976","Head","272000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1977","1977","Head","279000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1978","1978","Head","286000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1979","1979","Head","293000","F","FAO estimate"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1980","1980","Head","299169","","Official data"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1981","1981","Head","304047","","Official data"
"QA","Live Animals","18","Bhutan","5111","Stocks","866","Cattle","1982","1982","Head","321234","","Official data"
